t,s
0.00105,1.0238427967187699e-05
0.00106,1.028706685363199e-05
0.00107,1.0335476847388163e-05
0.00108,1.0383661149840144e-05
0.00109,1.0431622888434105e-05
0.0011,1.0479365119047292e-05
0.00111,1.052689082826016e-05
0.00112,1.0574202935536589e-05
0.00113,1.062130429531672e-05
0.00114,1.0668197699026587e-05
0.00115,1.0714885877008627e-05
0.00116,1.0761371500376786e-05
0.00117,1.0807657182799816e-05
0.00118,1.085374548221614e-05
0.00119,1.0899638902483423e-05
0.0012,1.094533989496593e-05
0.00121,1.0990850860062455e-05
0.00122,1.1036174148677537e-05
0.00123,1.1081312063638544e-05
0.00124,1.1126266861060986e-05
0.00125,1.1171040751664398e-05
0.00126,1.121563590204093e-05
0.00127,1.1260054435878728e-05
0.00128,1.1304298435142049e-05
0.00129,1.1348369941209961e-05
0.0013,1.1392270955975397e-05
0.00131,1.1436003442906239e-05
0.00132,1.1479569328070026e-05
0.00133,1.1522970501123783e-05
0.00134,1.1566208816270421e-05
0.00135,1.1609286093183095e-05
0.00136,1.1652204117898776e-05
0.00137,1.1694964643682338e-05
0.00138,1.1737569391862301e-05
0.00139,1.1780020052639364e-05
0.0014,1.182231828586882e-05
0.00141,1.1864465721817863e-05
0.00142,1.1906463961898756e-05
0.00143,1.1948314579378825e-05
0.00144,1.199001912006813e-05
0.00145,1.2031579102985697e-05
0.00146,1.2072996021005098e-05
0.00147,1.2114271341480166e-05
0.00148,1.215540650685161e-05
0.00149,1.2196402935235177e-05
0.0015,1.2237262020992116e-05
0.00151,1.227798513528253e-05
0.00152,1.2318573626602293e-05
0.00153,1.2359028821304057e-05
0.00154,1.2399352024102997e-05
0.00155,1.2439544518567787e-05
0.00156,1.2479607567597334e-05
0.00157,1.25195424138838e-05
0.00158,1.2559350280362363e-05
0.00159,1.259903237064819e-05
0.0016,1.263858986946106e-05
0.00161,1.2678023943038066e-05
0.00162,1.2717335739534807e-05
0.00163,1.2756526389415422e-05
0.00164,1.2795597005831922e-05
0.00165,1.283454868499308e-05
0.00166,1.287338250652331e-05
0.00167,1.2912099533811809e-05
0.00168,1.2950700814352323e-05
0.00169,1.298918738007381e-05
0.0017,1.3027560247662318e-05
0.00171,1.3065820418874363e-05
0.00172,1.3103968880842057e-05
0.00173,1.3142006606370269e-05
0.00174,1.3179934554226079e-05
0.00175,1.3217753669420735e-05
0.00176,1.32554648834844e-05
0.00177,1.3293069114733847e-05
0.00178,1.3330567268533385e-05
0.00179,1.3367960237549198e-05
0.0018,1.3405248901997277e-05
0.00181,1.3442434129885182e-05
0.00182,1.3479516777247796e-05
0.00183,1.3516497688377251e-05
0.00184,1.3553377696047222e-05
0.00185,1.3590157621731733e-05
0.00186,1.3626838275818636e-05
0.00187,1.366342045781797e-05
0.00188,1.3699904956565261e-05
0.00189,1.3736292550420008e-05
0.0019,1.3772584007459418e-05
0.00191,1.3808780085667588e-05
0.00192,1.384488153312019e-05
0.00193,1.3880889088164894e-05
0.00194,1.3916803479597534e-05
0.00195,1.3952625426834221e-05
0.00196,1.3988355640079488e-05
0.00197,1.402399482049057e-05
0.00198,1.4059543660337952e-05
0.00199,1.409500284316225e-05
0.002,1.4130373043927561e-05
0.00201,1.416565492917138e-05
0.00202,1.420084915715114e-05
0.00203,1.4235956377987501e-05
0.00204,1.4270977233804482e-05
0.00205,1.4305912358866476e-05
0.00206,1.4340762379712291e-05
0.00207,1.4375527915286244e-05
0.00208,1.4410209577066423e-05
0.00209,1.4444807969190164e-05
0.0021,1.4479323688576839e-05
0.00211,1.4513757325048023e-05
0.00212,1.4548109461445084e-05
0.00213,1.4582380673744282e-05
0.00214,1.461657153116946e-05
0.00215,1.4650682596302338e-05
0.00216,1.4684714425190536e-05
0.00217,1.4718667567453306e-05
0.00218,1.4752542566385112e-05
0.00219,1.4786339959057054e-05
0.0022,1.4820060276416225e-05
0.00221,1.4853704043383016e-05
0.00222,1.4887271778946462e-05
0.00223,1.4920763996257647e-05
0.00224,1.4954181202721239e-05
0.00225,1.4987523900085165e-05
0.00226,1.5020792584528514e-05
0.00227,1.505398774674769e-05
0.00228,1.5087109872040847e-05
0.00229,1.5120159440390672e-05
0.0023,1.5153136926545537e-05
0.00231,1.5186042800099063e-05
0.00232,1.5218877525568153e-05
0.00233,1.525164156246947e-05
0.00234,1.5284335365394497e-05
0.00235,1.5316959384083113e-05
0.00236,1.5349514063495773e-05
0.00237,1.538199984388432e-05
0.00238,1.5414417160861456e-05
0.00239,1.5446766445468867e-05
0.0024,1.5479048124244128e-05
0.00241,1.5511262619286297e-05
0.00242,1.554341034832032e-05
0.00243,1.5575491724760217e-05
0.00244,1.560750715777112e-05
0.00245,1.5639457052330157e-05
0.00246,1.5671341809286217e-05
0.00247,1.5703161825418634e-05
0.00248,1.5734917493494772e-05
0.00249,1.5766609202326624e-05
0.0025,1.5798237336826326e-05
0.00251,1.5829802278060714e-05
0.00252,1.5861304403304883e-05
0.00253,1.5892744086094812e-05
0.00254,1.5924121696279026e-05
0.00255,1.5955437600069362e-05
0.00256,1.5986692160090842e-05
0.00257,1.601788573543065e-05
0.00258,1.6049018681686293e-05
0.00259,1.6080091351012853e-05
0.0026,1.611110409216951e-05
0.00261,1.6142057250565178e-05
0.00262,1.617295116830341e-05
0.00263,1.6203786184226495e-05
0.00264,1.623456263395883e-05
0.00265,1.626528084994953e-05
0.00266,1.6295941161514353e-05
0.00267,1.632654389487685e-05
0.00268,1.6357089373208893e-05
0.00269,1.6387577916670483e-05
0.0027,1.6418009842448895e-05
0.00271,1.6448385464797196e-05
0.00272,1.6478705095072075e-05
0.00273,1.6508969041771117e-05
0.00274,1.653917761056939e-05
0.00275,1.65693311043555e-05
0.00276,1.6599429823266987e-05
0.00277,1.6629474064725206e-05
0.00278,1.6659464123469608e-05
0.00279,1.6689400291591478e-05
0.0028,1.6719282858567125e-05
0.00281,1.674911211129054e-05
0.00282,1.6778888334105512e-05
0.00283,1.68086118088373e-05
0.00284,1.6838282814823715e-05
0.00285,1.6867901628945742e-05
0.00286,1.6897468525657718e-05
0.00287,1.692698377701698e-05
0.00288,1.6956447652713073e-05
0.00289,1.698586042009652e-05
0.0029,1.701522234420709e-05
0.00291,1.7044533687801703e-05
0.00292,1.7073794711381823e-05
0.00293,1.71030056732205e-05
0.00294,1.713216682938896e-05
0.00295,1.716127843378279e-05
0.00296,1.7190340738147716e-05
0.00297,1.7219353992105037e-05
0.00298,1.7248318443176615e-05
0.00299,1.72772343368095e-05
0.003,1.7306101916400236e-05
0.00301,1.7334921423318732e-05
0.00302,1.7363693096931817e-05
0.00303,1.7392417174626426e-05
0.00304,1.7421093891832485e-05
0.00305,1.744972348204538e-05
0.00306,1.747830617684816e-05
0.00307,1.7506842205933413e-05
0.00308,1.7535331797124746e-05
0.00309,1.7563775176398068e-05
0.0031,1.7592172567902456e-05
0.00311,1.7620524193980795e-05
0.00312,1.7648830275190062e-05
0.00313,1.7677091030321366e-05
0.00314,1.770530667641967e-05
0.00315,1.773347742880323e-05
0.00316,1.776160350108279e-05
0.00317,1.778968510518045e-05
0.00318,1.781772245134832e-05
0.00319,1.7845715748186864e-05
0.0032,1.7873665202663036e-05
0.00321,1.79015710201281e-05
0.00322,1.792943340433526e-05
0.00323,1.7957252557456994e-05
0.00324,1.7985028680102196e-05
0.00325,1.801276197133303e-05
0.00326,1.804045262868158e-05
0.00327,1.8068100848166275e-05
0.00328,1.8095706824308073e-05
0.00329,1.812327075014641e-05
0.0033,1.8150792817254986e-05
0.00331,1.8178273215757267e-05
0.00332,1.8205712134341814e-05
0.00333,1.8233109760277415e-05
0.00334,1.8260466279427976e-05
0.00335,1.8287781876267255e-05
0.00336,1.831505673389334e-05
0.00337,1.834229103404301e-05
0.00338,1.836948495710583e-05
0.00339,1.839663868213811e-05
0.0034,1.8423752386876647e-05
0.00341,1.8450826247752313e-05
0.00342,1.847786043990344e-05
0.00343,1.850485513718903e-05
0.00344,1.8531810512201824e-05
0.00345,1.8558726736281153e-05
0.00346,1.858560397952565e-05
0.00347,1.86124424108058e-05
0.00348,1.8639242197776312e-05
0.00349,1.8666003506888343e-05
0.0035,1.8692726503401546e-05
0.00351,1.8719411351396e-05
0.00352,1.8746058213783938e-05
0.00353,1.8772667252321368e-05
0.00354,1.8799238627619516e-05
0.00355,1.8825772499156165e-05
0.00356,1.885226902528678e-05
0.00357,1.8878728363255564e-05
0.00358,1.890515066920634e-05
0.00359,1.893153609819329e-05
0.0036,1.8957884804191593e-05
0.00361,1.8984196940107874e-05
0.00362,1.90104726577906e-05
0.00363,1.903671210804026e-05
0.00364,1.9062915440619507e-05
0.00365,1.9089082804263076e-05
0.00366,1.9115214346687696e-05
0.00367,1.9141310214601764e-05
0.00368,1.9167370553714992e-05
0.00369,1.919339550874788e-05
0.0037,1.9219385223441105e-05
0.00371,1.9245339840564753e-05
0.00372,1.9271259501927517e-05
0.00373,1.9297144348385707e-05
0.00374,1.9322994519852178e-05
0.00375,1.934881015530516e-05
0.00376,1.937459139279698e-05
0.00377,1.9400338369462675e-05
0.00378,1.9426051221528484e-05
0.00379,1.945173008432029e-05
0.0038,1.9477375092271903e-05
0.00381,1.9502986378933272e-05
